epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20902.7,1.21402,1.3069,1.61992,0.58855,0.52139,0.54074,0.28116,1.63351,1.50025,2.07766,0.000870958,0.000870958,0.000870958
43,21324.4,1.19574,1.26047,1.60222,0.59063,0.52461,0.53439,0.28251,1.6328,1.55343,2.06166,0.000851543,0.000851543,0.000851543
44,21979.1,1.20198,1.25419,1.60729,0.58992,0.52132,0.52937,0.27677,1.67552,1.52551,2.1011,0.000832127,0.000832127,0.000832127
45,22467.1,1.18554,1.23252,1.59632,0.60841,0.55396,0.56146,0.29928,1.63589,1.512,2.06988,0.000812712,0.000812712,0.000812712
46,23223.1,1.17923,1.20081,1.5835,0.64794,0.52143,0.53164,0.2851,1.692,1.59195,2.1059,0.000793296,0.000793296,0.000793296
47,23549,1.16612,1.18749,1.58583,0.64555,0.50192,0.54816,0.27948,1.69946,1.55381,2.1158,0.00077388,0.00077388,0.00077388
48,24093,1.16,1.18031,1.58016,0.57858,0.55674,0.5533,0.29583,1.62653,1.49492,2.07192,0.000754465,0.000754465,0.000754465
49,24428.8,1.14273,1.14118,1.56074,0.60472,0.52632,0.56135,0.29393,1.65268,1.52489,2.11141,0.000735049,0.000735049,0.000735049
50,25000.1,1.13958,1.13937,1.55037,0.65158,0.56281,0.5975,0.32452,1.63145,1.45347,2.05653,0.000715633,0.000715633,0.000715633
51,25294.2,1.12427,1.09897,1.53246,0.65215,0.55615,0.58376,0.30061,1.71081,1.55053,2.14589,0.000696218,0.000696218,0.000696218
52,25907.2,1.09486,1.07296,1.51782,0.63728,0.5599,0.58725,0.31565,1.67,1.47481,2.14465,0.000676802,0.000676802,0.000676802
53,26519.8,1.10612,1.09051,1.52926,0.62347,0.5473,0.57324,0.31762,1.64805,1.49142,2.08306,0.000657386,0.000657386,0.000657386
54,27080.7,1.07378,1.03465,1.49826,0.67722,0.50858,0.55113,0.286,1.67069,1.52998,2.12871,0.000637971,0.000637971,0.000637971
55,27741.3,1.07317,1.0263,1.49817,0.72914,0.51195,0.5836,0.31284,1.63224,1.50603,2.08222,0.000618555,0.000618555,0.000618555
56,28297.7,1.06877,1.02968,1.49505,0.73921,0.508,0.58476,0.31872,1.60711,1.50306,2.05296,0.000599139,0.000599139,0.000599139
57,28839.5,1.04564,0.99615,1.48077,0.73807,0.52876,0.59558,0.32102,1.60538,1.48666,2.0595,0.000579724,0.000579724,0.000579724
58,29374.5,1.06002,1.00508,1.4843,0.65722,0.52159,0.56636,0.3045,1.67645,1.54547,2.11385,0.000560308,0.000560308,0.000560308
59,30006.1,1.04321,0.98627,1.47607,0.71042,0.52351,0.59057,0.3011,1.68336,1.4973,2.16699,0.000540892,0.000540892,0.000540892
60,30664.8,1.02595,0.96598,1.46096,0.7214,0.50857,0.58063,0.30414,1.64638,1.50445,2.08179,0.000521477,0.000521477,0.000521477
61,31084.7,1.00969,0.93172,1.44574,0.73701,0.52866,0.59815,0.31361,1.65611,1.4183,2.12606,0.000502061,0.000502061,0.000502061
62,31726.9,0.99404,0.93317,1.43263,0.67445,0.55118,0.57637,0.30337,1.65483,1.52117,2.13253,0.000482646,0.000482646,0.000482646
63,32199.3,1.00043,0.91039,1.43892,0.70845,0.49417,0.59039,0.31326,1.60105,1.47769,2.06913,0.00046323,0.00046323,0.00046323
64,32876.8,0.97764,0.90376,1.41267,0.6797,0.52166,0.5596,0.29932,1.61335,1.48093,2.10687,0.000443814,0.000443814,0.000443814
